"Variable","Beta","P_value"
"male","-1.59492722355355","4.86382489242179e-20"
"malaysian","14.7986331163477","0"
"comorb","6.47418186788204","1.39828025621148e-210"
"brand2","-34.1590909091156","0.0368627352034937"
"bid","-3.91477691281198","9.9526822127631e-78"
